FUNIT: Hz
UNIT: dB
0.0 [-0.2, -1.0] [0.0, 0.0] [0.2, +1.0]
5.312445e+08 [-0.66, -178.25] [-0.46, -177.25] [-0.26, -176.25]
5.515321e+08 [-0.66, 133.72] [-0.46, 134.72] [-0.26, 135.72]
5.725945e+08 [-0.68, 83.97] [-0.48, 84.97] [-0.28, 85.97]
5.944612e+08 [-0.68, 32.25] [-0.48, 33.25] [-0.28, 34.25]
6.171630e+08 [-0.69, -21.42] [-0.49, -20.42] [-0.29, -19.42]
6.407317e+08 [-0.70, -77.21] [-0.50, -76.21] [-0.30, -75.21]
6.652006e+08 [-0.72, -135.05] [-0.52, -134.05] [-0.32, -133.05]
6.906038e+08 [-0.72, 165.03] [-0.52, 166.03] [-0.32, 167.03]
7.169772e+08 [-0.74, 102.68] [-0.54, 103.68] [-0.34, 104.68]
7.443577e+08 [-0.74, 37.97] [-0.54, 38.97] [-0.34, 39.97]
7.727839e+08 [-0.76, -29.20] [-0.56, -28.20] [-0.36, -27.20]
8.022956e+08 [-0.76, -98.96] [-0.56, -97.96] [-0.36, -96.96]
8.329344e+08 [-0.79, -171.35] [-0.59, -170.35] [-0.39, -169.35]
8.647432e+08 [-0.80, 113.51] [-0.60, 114.51] [-0.40, 115.51]
8.977667e+08 [-0.81, 35.44] [-0.61, 36.44] [-0.41, 37.44]
9.320514e+08 [-0.83, -45.54] [-0.63, -44.54] [-0.43, -43.54]
9.676454e+08 [-0.83, -129.65] [-0.63, -128.65] [-0.43, -127.65]
1.004599e+09 [-0.84, 142.98] [-0.64, 143.98] [-0.44, 144.98]
1.042963e+09 [-0.86, 52.31] [-0.66, 53.31] [-0.46, 54.31]
1.082793e+09 [-0.88, -41.72] [-0.68, -40.72] [-0.48, -39.72]
1.124143e+09 [-0.88, -139.45] [-0.68, -138.45] [-0.48, -137.45]
1.167073e+09 [-0.90, 119.10] [-0.70, 120.10] [-0.50, 121.10]
1.211642e+09 [-0.91, 13.78] [-0.71, 14.78] [-0.51, 15.78]
1.257913e+09 [-0.93, -95.49] [-0.73, -94.49] [-0.53, -93.49]
1.305952e+09 [-0.95, 150.97] [-0.75, 151.97] [-0.55, 152.97]
1.355825e+09 [-0.95, 33.18] [-0.75, 34.18] [-0.55, 35.18]
1.407602e+09 [-0.97, -89.20] [-0.77, -88.20] [-0.57, -87.20]
1.461357e+09 [-0.99, 143.82] [-0.79, 144.82] [-0.59, 145.82]
1.517164e+09 [-1.00, 12.03] [-0.80, 13.03] [-0.60, 14.03]
1.575103e+09 [-1.02, -124.92] [-0.82, -123.92] [-0.62, -122.92]
1.635254e+09 [-1.05, 92.98] [-0.85, 93.98] [-0.65, 94.98]
1.697703e+09 [-1.06, -54.55] [-0.86, -53.55] [-0.66, -52.55]
1.762536e+09 [-1.07, 152.25] [-0.87, 153.25] [-0.67, 154.25]
1.829845e+09 [-1.09, -6.72] [-0.89, -5.72] [-0.69, -4.72]
1.899725e+09 [-1.11, -171.71] [-0.91, -170.71] [-0.71, -169.71]
1.972273e+09 [-1.12, 16.78] [-0.92, 17.78] [-0.72, 18.78]
2.047592e+09 [-1.15, -161.03] [-0.95, -160.03] [-0.75, -159.03]
2.125787e+09 [-1.16, 14.20] [-0.96, 15.20] [-0.76, 16.20]
2.206969e+09 [-1.18, -177.57] [-0.98, -176.57] [-0.78, -175.57]
2.291250e+09 [-1.20, -16.61] [-1.00, -15.61] [-0.80, -14.61]
2.378751e+09 [-1.22, 136.63] [-1.02, 137.63] [-0.82, 138.63]
2.469592e+09 [-1.24, -77.94] [-1.04, -76.94] [-0.84, -75.94]
2.563903e+09 [-1.26, 59.61] [-1.06, 60.61] [-0.86, 61.61]
2.661816e+09 [-1.25, -172.04] [-1.05, -171.04] [-0.85, -170.04]
2.763468e+09 [-1.31, -52.05] [-1.11, -51.05] [-0.91, -50.05]
2.869001e+09 [-1.35, 58.77] [-1.15, 59.77] [-0.95, 60.77]
2.978565e+09 [-1.35, 159.89] [-1.15, 160.89] [-0.95, 161.89]
3.092313e+09 [-1.39, -108.86] [-1.19, -107.86] [-0.99, -106.86]
3.210405e+09 [-1.41, -27.73] [-1.21, -26.73] [-1.01, -25.73]
